type,sensor,value,timestamp
"watt","sumPerDay",35088,1421190042
"watt","sumPerDay",39888,1421276400
"watt","sumPerDay",36240,1421362957
"watt","sumPerDay",47688,1421449200
"watt","sumPerDay",59400,1421535682
"watt","sumPerDay",58608,1421622014
"watt","sumPerDay",52920,1421708453
"watt","sumPerDay",65256,1421794817
"watt","sumPerDay",66672,1421881271
"watt","sumPerDay",68328,1421967639
"watt","sumPerDay",82056,1422054060
"watt","sumPerDay",69264,1422140503
"watt","sumPerDay",65112,1422226841
"watt","sumPerDay",47592,1422313220
"watt","sumPerDay",43584,1422399674
"watt","sumPerDay",40416,1422486023
"watt","sumPerDay",46056,1422572434
"watt","sumPerDay",59496,1422658806
"watt","sumPerDay",68640,1422745252
"watt","sumPerDay",87792,1422831662
"watt","sumPerDay",66024,1422918002
"watt","sumPerDay",70464,1423004404
"watt","sumPerDay",94416,1423090859
"watt","sumPerDay",76056,1423177209
"watt","sumPerDay",92304,1423263619
"watt","sumPerDay",77304,1423350005
"watt","sumPerDay",72864,1423436410
"watt","sumPerDay",66384,1423522803
"watt","sumPerDay",64680,1423609211
"watt","sumPerDay",55944,1423695616
"watt","sumPerDay",54480,1423782077
"watt","sumPerDay",45336,1423868438
"watt","sumPerDay",52560,1423954870
"watt","sumPerDay",51888,1424041254
"watt","sumPerDay",43608,1424127606
"watt","sumPerDay",44328,1424214031
"watt","sumPerDay",45528,1424300407
"watt","sumPerDay",49152,1424386911
"watt","sumPerDay",51432,1424473213
"watt","sumPerDay",53808,1424559620
"watt","sumPerDay",57672,1424646009
"watt","sumPerDay",45408,1424732410
"watt","sumPerDay",39840,1424818880
"watt","sumPerDay",36768,1424905273
"watt","sumPerDay",29376,1424991631
"watt","sumPerDay",30936,1425078080
"watt","sumPerDay",37632,1425164497
"watt","sumPerDay",22704,1425250811
"watt","sumPerDay",32592,1425337320
"watt","sumPerDay",32640,1425423620
"watt","sumPerDay",25728,1425510004
"watt","sumPerDay",27120,1425596439
"watt","sumPerDay",27912,1425682821
"watt","sumPerDay",39144,1425769216
"watt","sumPerDay",24960,1425855657
"watt","sumPerDay",25536,1425942066
"watt","sumPerDay",22464,1426028531
"watt","sumPerDay",27120,1426114894
"watt","sumPerDay",27312,1426201208
"watt","sumPerDay",30288,1426287603
"watt","sumPerDay",36192,1426374001
"watt","sumPerDay",34968,1426460529
"watt","sumPerDay",27888,1426546974
"watt","sumPerDay",26040,1426633271
"watt","sumPerDay",24312,1426719608
"watt","sumPerDay",33120,1426806041
"watt","sumPerDay",38928,1426892550
"watt","sumPerDay",45000,1426978801
"watt","sumPerDay",41280,1427065228
"watt","sumPerDay",31200,1427151747
"watt","sumPerDay",38496,1427238162
"watt","sumPerDay",38016,1427324432
"watt","sumPerDay",45072,1427410814
"watt","sumPerDay",41136,1427497215
"watt","sumPerDay",42816,1427583665
"watt","sumPerDay",36168,1427666408
"watt","sumPerDay",27024,1427752939
"watt","sumPerDay",26520,1427839208
"watt","sumPerDay",27816,1427925601
"watt","sumPerDay",27672,1428012275
"watt","sumPerDay",34368,1428098440
"watt","sumPerDay",38064,1428184810
"watt","sumPerDay",38232,1428271264
"watt","sumPerDay",34152,1428357603
"watt","sumPerDay",25512,1428444058
"watt","sumPerDay",24192,1428530428
"watt","sumPerDay",18816,1428616835
"watt","sumPerDay",17736,1428703252
"watt","sumPerDay",19368,1428789617
"watt","sumPerDay",22176,1428876091
"watt","sumPerDay",21648,1428962419
"watt","sumPerDay",11040,1429048807
"watt","sumPerDay",14232,1429135201
"watt","sumPerDay",13680,1429221650
"watt","sumPerDay",13800,1429308006
"watt","sumPerDay",18456,1429394489
"watt","sumPerDay",18624,1429480816
"watt","sumPerDay",15696,1429567270
"watt","sumPerDay",14352,1429653698
"watt","sumPerDay",12624,1429740022
"watt","sumPerDay",11928,1429826405
"watt","sumPerDay",20352,1429912812
"watt","sumPerDay",16296,1429999217
"watt","sumPerDay",18888,1430085617
"watt","sumPerDay",17160,1430172090
"watt","sumPerDay",15456,1430258416
"watt","sumPerDay",16440,1430344819
"watt","sumPerDay",7872,1430431209
"watt","sumPerDay",4344,1430517621
"watt","sumPerDay",5640,1430604091
"watt","sumPerDay",11880,1430690407
"watt","sumPerDay",15624,1430776905
"watt","sumPerDay",14280,1430863358
"watt","sumPerDay",17352,1430949619
"watt","sumPerDay",18888,1431036051
"watt","sumPerDay",19176,1431122477
"watt","sumPerDay",15864,1431208801
"watt","sumPerDay",8112,1431295271
"watt","sumPerDay",16320,1431381688
"watt","sumPerDay",11544,1431468016
"watt","sumPerDay",15504,1431554401
"watt","sumPerDay",17904,1431640836
"watt","sumPerDay",13512,1431727292
"watt","sumPerDay",11784,1431813641
"watt","sumPerDay",14616,1431900008
"watt","sumPerDay",16728,1431986417
"watt","sumPerDay",14064,1432072968
"watt","sumPerDay",11088,1432159327
"watt","sumPerDay",16320,1432245627
"watt","sumPerDay",19152,1432332017
"watt","sumPerDay",8784,1432418426
"watt","sumPerDay",15816,1432504874
"watt","sumPerDay",18000,1432591265
"watt","sumPerDay",15624,1432677754
"watt","sumPerDay",11496,1432764018
